answer	path	n
epoch	[('soare', '01001', 25), ('lento', '01001', 2), ('aahed', '00110', 1), ('epoch', '22222', 1)]	4
triad	[('soare', '00110', 42), ('riyal', '11020', 3), ('abaft', '10001', 1), ('triad', '22222', 1)]	4
break	[('soare', '00111', 61), ('talar', '00021', 11), ('becke', '21010', 1), ('break', '22222', 1)]	4
rhino	[('soare', '01010', 59), ('cutin', '00011', 3), ('abmho', '00012', 1), ('rhino', '22222', 1)]	4
viral	[('soare', '00110', 42), ('riyal', '12022', 1), ('viral', '22222', 1)]	3
conic	[('soare', '02000', 87), ('culty', '20000', 4), ('abmho', '00001', 1), ('conic', '22222', 1)]	4
masse	[('soare', '10102', 15), ('thump', '00010', 1), ('masse', '22222', 1)]	3
sonic	[('soare', '22000', 7), ('atony', '00110', 1), ('sonic', '22222', 1)]	3
vital	[('soare', '00100', 138), ('clint', '01101', 2), ('aahed', '10000', 1), ('vital', '22222', 1)]	4
trace	[('soare', '00212', 19), ('diact', '00221', 1), ('trace', '22222', 1)]	3
using	[('soare', '10000', 33), ('hists', '01100', 1), ('using', '22222', 1)]	3
peach	[('soare', '00201', 21), ('depth', '02102', 1), ('peach', '22222', 1)]	3
champ	[('soare', '00200', 40), ('clink', '20000', 2), ('abaft', '00200', 1), ('champ', '22222', 1)]	4
baton	[('soare', '01100', 44), ('cloot', '00021', 1), ('baton', '22222', 1)]	3
brake	[('soare', '00212', 19), ('diact', '00200', 6), ('abamp', '01200', 2), ('abaka', '01220', 1), ('brake', '22222', 1)]	5
pluck	[('soare', '00000', 183), ('clint', '12000', 1), ('pluck', '22222', 1)]	3
craze	[('soare', '00212', 19), ('diact', '00210', 3), ('avant', '00200', 1), ('craze', '22222', 1)]	4
gripe	[('soare', '00012', 39), ('pudic', '10010', 2), ('aargh', '00110', 1), ('gripe', '22222', 1)]	4
weary	[('soare', '00221', 9), ('lathy', '01002', 1), ('weary', '22222', 1)]	3
picky	[('soare', '00000', 183), ('clint', '10100', 3), ('aalii', '00010', 1), ('picky', '22222', 1)]	4
acute	[('soare', '00102', 40), ('gault', '01201', 1), ('acute', '22222', 1)]	3
ferry	[('soare', '00021', 14), ('feted', '22000', 1), ('ferry', '22222', 1)]	3
aside	[('soare', '10102', 15), ('thump', '00000', 3), ('aahed', '20011', 1), ('aside', '22222', 1)]	4
tapir	[('soare', '00110', 42), ('riyal', '11010', 3), ('aahed', '02000', 1), ('tapir', '22222', 1)]	4
troll	[('soare', '01010', 59), ('cutin', '00100', 6), ('ablow', '00110', 1), ('troll', '22222', 1)]	4
unify	[('soare', '00000', 183), ('clint', '00210', 1), ('unify', '22222', 1)]	3
rebus	[('soare', '10011', 15), ('richt', '20000', 1), ('rebus', '22222', 1)]	3
boost	[('soare', '12000', 15), ('fubsy', '00120', 1), ('boost', '22222', 1)]	3
truss	[('soare', '10010', 16), ('cruft', '02201', 1), ('truss', '22222', 1)]	3
siege	[('soare', '20002', 23), ('pling', '00101', 1), ('siege', '22222', 1)]	3
tiger	[('soare', '00011', 117), ('direr', '02022', 13), ('flong', '00001', 2), ('aarti', '00111', 1), ('tiger', '22222', 1)]	5
banal	[('soare', '00100', 138), ('clint', '01010', 5), ('abaka', '11100', 1), ('banal', '22222', 1)]	4
slump	[('soare', '20000', 63), ('thilk', '00010', 2), ('aargh', '00000', 1), ('slump', '22222', 1)]	4
crank	[('soare', '00210', 40), ('clint', '20020', 1), ('crank', '22222', 1)]	3
gorge	[('soare', '02012', 9), ('faugh', '00020', 1), ('gorge', '22222', 1)]	3
query	[('soare', '00021', 14), ('feted', '01000', 2), ('aalii', '00000', 1), ('query', '22222', 1)]	4
drink	[('soare', '00010', 57), ('glint', '00220', 3), ('abaka', '00010', 1), ('drink', '22222', 1)]	4
favor	[('soare', '01110', 27), ('maron', '02120', 5), ('alvar', '10202', 1), ('favor', '22222', 1)]	4
abbey	[('soare', '00101', 68), ('canal', '01000', 4), ('aahed', '20020', 1), ('abbey', '22222', 1)]	4
tangy	[('soare', '00100', 138), ('clint', '00011', 3), ('aahed', '02000', 1), ('tangy', '22222', 1)]	4
panic	[('soare', '00100', 138), ('clint', '10110', 2), ('abamp', '10001', 1), ('panic', '22222', 1)]	4
solar	[('soare', '22110', 2), ('aalii', '10200', 1), ('solar', '22222', 1)]	3
shire	[('soare', '20022', 2), ('aahed', '00110', 1), ('shire', '22222', 1)]	3
